,Unnamed: 0.1,Unnamed: 0,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
14,477,212,42.5,29.4,34.2,23.5,34.7,15.1,11.8,21.8,15.8,128.7,112.1,99.5,97.8,107.4,60.5,35.5,28.8,42.9,38.7,25.7,17.1,25,101.4,186.7,1
15,402,221,38.9,29.4,33.3,24.2,33.5,14.2,12.8,20.6,15.5,127.0,116.7,113.2,102.9,107.9,57.7,37.4,28.9,37.8,37.4,24.1,17.1,28,102.5,177.8,1
16,184,399,36.9,31.1,33.8,16.8,26.6,13.0,9.8,18.4,13.8,98.2,84.0,62.9,76.8,95.5,52.8,26.4,23.1,34.6,32.3,20.4,14.7,40,56.8,168.9,0
17,80,365,36.7,23.5,29.5,17.2,28.3,11.5,9.5,16.1,9.9,100.2,88.7,64.2,76.8,88.4,56.0,29.0,23.8,33.9,33.2,20.5,15.0,20,55.2,161.2,0
18,169,465,37.1,27.8,31.7,20.6,26.4,12.4,10.4,18.2,13.2,99.3,86.4,70.2,86.7,97.8,58.5,28.3,24.9,35.5,36.3,21.4,15.3,27,62.7,167.6,0
19,74,299,33.8,28.7,32.2,18.7,25.4,12.0,8.9,17.4,13.0,106.2,91.3,80.0,97.9,104.6,62.7,30.0,23.1,36.3,36.0,21.0,14.6,19,69.1,160.7,0
20,7,301,34.4,23.5,26.8,16.5,24.4,11.7,9.2,16.8,12.4,97.4,82.2,61.7,66.0,80.7,50.3,23.7,21.6,30.5,33.8,20.7,14.6,20,46.5,152.4,0
21,185,382,36.0,28.1,31.0,18.8,27.4,11.5,9.7,17.5,12.8,105.0,89.4,71.5,80.6,96.0,56.9,26.8,22.0,33.8,33.5,21.1,15.3,28,60.5,168.9,0
22,35,387,35.2,26.0,30.4,17.3,25.5,11.1,9.0,17.1,12.0,93.8,85.5,70.4,82.4,93.5,57.5,28.3,21.9,33.1,32.8,19.0,13.9,29,55.5,158.0,0
23,60,473,35.1,26.6,29.2,17.0,24.4,11.8,9.4,17.0,12.2,94.4,82.5,65.6,81.8,92.8,56.2,28.8,24.7,33.0,34.6,21.7,15.8,32,55.4,160.0,0
24,181,357,37.7,25.0,30.4,16.6,29.3,12.4,10.2,18.6,12.7,110.7,92.2,70.3,82.8,100.0,59.6,30.8,25.4,37.0,37.0,23.0,16.0,20,65.2,168.5,0
25,18,252,35.5,28.2,31.0,18.2,26.2,11.5,9.1,17.2,12.4,103.3,91.0,70.5,80.5,91.5,55.0,26.9,22.7,33.0,33.3,19.9,14.5,21,53.6,155.8,0
26,279,207,40.3,28.3,30.6,18.2,29.2,12.9,10.6,20.2,14.2,112.0,96.0,81.5,80.5,89.5,52.0,30.3,25.0,36.0,35.0,22.4,16.7,62,66.8,167.6,1
27,186,443,38.9,29.0,33.1,16.3,25.9,12.2,10.2,18.8,13.8,101.3,85.5,67.3,86.9,97.6,58.8,27.2,22.6,38.3,35.6,21.0,14.6,33,62.0,168.9,0
28,473,4,44.3,29.9,34.0,18.4,28.2,13.9,11.2,20.9,15.0,104.5,97.0,77.8,78.8,94.0,53.0,31.0,26.2,37.0,34.8,23.0,16.6,23,72.6,186.5,1
29,365,174,40.5,28.7,30.4,22.1,29.2,14.3,11.2,18.5,14.5,116.5,104.2,84.2,84.0,93.2,55.0,33.0,25.4,35.6,36.4,22.8,15.9,35,73.6,176.5,1
30,370,75,41.4,26.4,32.3,18.6,31.3,14.9,11.5,18.9,14.6,118.8,101.6,70.9,76.7,95.3,56.0,36.0,28.6,36.0,34.0,22.0,17.0,23,68.2,177.0,1
31,342,188,41.3,27.3,32.2,20.2,28.3,13.8,11.4,18.0,13.0,108.6,97.1,82.9,88.1,91.2,51.7,30.7,25.7,33.9,33.4,21.2,16.7,49,69.1,175.3,1
32,82,369,38.7,27.1,31.4,16.5,27.5,12.8,9.2,18.8,12.5,107.3,88.0,72.7,76.7,95.9,56.6,29.5,25.3,36.8,37.6,22.4,16.6,27,60.2,161.3,0
33,179,350,35.8,27.7,28.9,16.4,25.6,11.5,9.1,17.1,12.3,94.6,80.2,60.7,77.0,89.9,53.3,25.2,22.4,34.2,32.2,19.0,14.6,22,53.4,168.2,0
34,119,320,36.9,27.4,31.0,18.2,25.7,12.8,10.4,17.8,14.1,96.1,84.3,59.4,74.0,85.8,51.0,26.9,23.0,32.8,32.1,19.7,15.0,46,50.0,163.5,0
35,306,149,35.6,26.4,30.8,19.2,29.4,14.6,11.5,19.6,15.3,105.7,95.9,84.4,86.8,99.0,55.0,30.5,26.4,36.1,38.4,21.3,16.4,31,72.7,171.4,1
36,363,96,40.4,28.6,31.4,19.8,27.6,13.9,10.1,20.0,13.4,108.3,93.2,76.2,83.8,92.8,55.2,31.2,26.2,36.8,37.7,22.7,16.2,38,68.4,176.5,1
37,360,21,42.0,27.5,30.7,21.3,32.0,13.1,11.1,19.2,13.9,116.0,100.0,92.0,91.0,98.0,57.5,32.0,27.6,37.5,35.2,21.0,17.3,22,78.8,176.0,1
38,105,491,34.4,29.7,31.7,17.5,24.7,12.6,10.2,17.7,12.4,93.0,86.0,72.3,91.7,97.8,59.1,31.0,26.3,39.9,39.7,21.6,15.4,56,63.6,162.6,0
39,296,165,41.1,29.2,31.5,19.7,29.9,14.8,11.0,18.0,15.0,111.1,98.5,77.9,87.3,90.8,50.8,35.0,28.4,35.5,35.0,21.0,16.6,24,65.9,170.2,1
40,470,202,41.3,31.1,34.9,26.4,30.2,15.0,11.6,18.8,15.8,110.6,104.9,109.2,104.4,101.7,56.4,34.0,29.2,39.3,38.5,24.3,17.4,55,94.1,185.4,1
41,436,160,41.1,27.8,32.9,18.0,26.8,14.6,11.2,19.5,15.8,109.2,94.1,81.2,84.0,91.6,51.5,33.0,27.0,35.2,35.5,23.1,16.3,37,70.5,181.6,1
42,480,190,45.2,29.7,33.8,19.9,32.0,15.5,11.8,19.6,16.1,116.2,103.3,84.5,94.5,98.2,53.7,32.5,27.8,36.0,36.3,22.0,17.7,42,80.5,188.0,1
43,28,302,34.7,27.8,32.6,16.5,24.2,12.6,9.8,17.6,12.6,96.3,82.1,64.0,73.6,98.1,56.8,25.8,23.9,33.7,34.0,20.3,14.6,20,54.3,157.5,0
44,139,459,35.8,29.4,30.8,17.0,26.6,12.2,10.8,17.6,13.4,98.1,86.6,70.1,86.2,97.6,55.6,27.6,23.7,34.9,32.0,21.1,15.3,33,60.9,165.1,0
45,171,436,37.8,32.0,33.8,16.8,26.6,13.4,10.4,18.8,13.4,105.0,86.2,77.9,96.0,100.1,60.7,28.4,24.3,34.7,34.5,20.9,14.9,34,63.6,167.6,0
46,241,471,37.4,29.0,32.9,17.7,23.5,12.7,10.0,18.2,13.8,98.2,84.1,65.9,83.7,96.3,57.0,26.6,23.7,35.6,34.0,21.7,15.1,23,62.3,175.2,0
47,247,425,37.6,31.3,33.5,17.0,25.4,12.4,9.4,19.2,11.5,105.0,76.8,73.6,106.3,106.2,61.7,31.4,26.2,39.6,39.1,24.8,16.2,44,72.7,175.3,0
48,358,215,43.8,29.2,35.6,19.9,28.3,14.8,12.8,20.7,14.3,112.2,95.7,85.8,94.7,106.8,60.6,33.6,27.3,37.5,41.8,26.2,17.8,27,77.7,175.9,1
49,321,35,41.0,25.1,31.9,20.8,27.9,13.6,10.8,18.8,12.9,112.0,98.4,73.0,83.0,95.4,56.3,36.4,27.5,37.2,34.5,21.8,16.9,23,69.1,172.8,1
50,142,432,39.2,31.3,33.8,17.7,29.7,13.2,9.6,17.8,14.4,105.1,94.3,77.5,93.9,101.1,61.6,28.3,23.0,36.5,34.6,21.9,14.7,32,65.5,165.1,0
51,136,422,35.8,26.6,31.1,18.5,24.7,12.4,9.6,17.9,13.8,99.5,81.7,66.0,85.0,94.3,56.4,28.0,21.1,32.1,34.3,21.0,14.4,24,56.8,165.1,0
52,180,303,35.6,26.4,32.2,15.1,26.6,13.0,10.0,17.6,13.8,98.0,82.6,58.6,73.0,89.6,54.9,27.1,23.1,33.2,35.8,20.7,14.4,26,54.8,168.3,0
53,271,131,41.3,26.8,32.2,21.4,31.1,13.6,11.0,19.1,15.0,111.5,104.2,90.9,92.7,100.2,51.8,30.1,26.8,38.1,36.4,23.2,16.3,41,75.0,166.4,1
54,92,390,37.2,26.0,28.5,18.8,25.0,12.3,9.7,18.4,13.0,101.5,83.6,70.5,78.5,91.9,56.8,30.5,24.3,35.8,36.9,20.4,15.7,28,59.2,162.1,0
55,84,492,36.5,26.6,30.8,16.0,24.9,12.6,10.7,17.0,13.0,99.5,86.4,69.1,87.8,95.4,59.5,28.3,24.7,35.6,34.6,23.0,16.6,23,60.9,161.3,0
56,333,52,38.5,26.1,30.8,20.6,30.8,15.1,11.4,19.8,14.2,126.3,109.6,81.6,86.5,100.9,61.7,39.5,31.7,38.8,36.5,22.7,17.9,23,86.2,174.0,1
57,251,442,36.2,31.1,34.7,21.1,26.8,12.9,10.4,18.6,14.0,102.1,95.8,85.4,105.2,109.5,68.3,29.7,24.5,40.3,37.0,22.4,15.3,24,73.6,176.5,0
58,144,457,35.1,29.9,35.3,18.0,28.5,13.8,10.5,20.0,14.3,110.7,95.0,83.4,100.5,107.5,67.4,34.2,28.3,40.9,41.2,23.4,15.6,26,80.9,165.1,0
59,230,336,36.7,28.2,33.0,17.5,25.6,12.2,10.1,17.8,13.5,98.5,85.7,71.5,82.0,100.5,60.4,28.0,24.2,36.6,36.4,21.8,15.6,20,69.2,173.2,0
60,58,281,36.6,28.2,32.0,14.3,26.0,11.8,9.9,18.0,12.7,95.0,80.0,66.0,78.0,92.0,52.5,25.0,22.2,33.0,34.8,20.5,14.4,25,54.4,160.0,0
61,368,187,40.9,28.7,33.5,23.7,30.2,15.8,11.6,19.3,16.8,117.0,103.6,98.5,99.9,103.6,57.5,33.7,29.0,38.7,36.7,24.3,17.7,54,85.0,176.5,1
62,336,76,39.6,27.5,30.2,19.2,28.9,13.5,10.4,19.3,14.2,108.0,94.6,76.1,78.0,86.3,52.4,28.6,23.9,34.5,37.9,22.7,15.8,31,63.9,174.5,1
63,194,495,36.2,28.7,27.8,16.0,23.7,12.4,10.2,17.9,13.2,96.1,82.1,66.9,82.4,91.6,53.4,26.2,22.6,35.0,35.2,22.4,15.2,34,57.3,169.5,0
64,63,452,34.7,24.7,32.0,17.7,25.2,12.8,10.4,18.4,13.8,100.6,87.3,70.4,91.1,96.7,55.6,29.9,23.7,35.3,33.8,23.0,16.3,23,59.0,160.0,0
65,140,438,37.6,31.3,35.3,20.2,27.3,11.3,9.4,18.9,13.8,103.5,86.1,72.0,91.9,103.9,57.5,27.4,22.4,36.3,37.9,23.4,14.5,32,62.7,165.1,0
66,49,392,33.6,24.3,27.9,18.2,24.7,11.0,8.4,16.6,11.1,103.1,82.9,67.6,73.9,90.2,56.4,30.2,24.2,34.1,33.8,20.6,14.8,22,53.2,159.8,0
67,292,51,39.4,28.3,30.6,20.2,28.7,15.0,11.5,18.4,14.4,118.7,108.0,79.8,82.5,94.8,58.3,39.8,29.6,34.2,38.1,21.1,16.9,23,75.6,169.5,1
68,435,6,43.3,27.0,31.5,19.6,31.3,14.0,11.5,18.8,13.9,119.8,99.9,82.5,80.1,95.3,57.5,33.0,28.0,36.6,36.1,23.5,16.9,21,74.8,181.5,1
69,276,103,37.0,27.3,31.1,18.2,25.0,13.2,10.5,18.7,13.4,102.9,79.3,75.4,78.0,88.6,50.0,25.6,22.7,33.8,32.5,21.2,14.6,29,53.9,167.4,1
70,312,49,38.9,24.9,28.7,19.7,26.8,14.2,10.2,18.0,14.4,113.3,100.0,79.7,87.1,98.4,61.1,36.3,28.6,34.5,36.1,21.4,16.3,25,74.9,172.1,1
71,476,175,42.7,28.5,36.7,23.7,30.8,15.8,12.9,19.3,16.0,123.0,107.4,87.6,89.4,106.7,60.9,38.3,31.2,39.0,42.6,25.8,18.8,29,91.8,186.7,1
72,147,305,37.8,26.6,33.1,16.5,27.1,12.4,9.8,18.3,13.0,101.4,85.3,69.5,74.9,94.7,55.7,24.9,22.8,34.9,37.1,20.1,14.9,21,60.0,165.5,0
73,161,290,34.9,28.0,30.8,15.6,24.2,11.2,9.2,17.9,13.2,96.0,81.0,67.8,73.0,92.9,55.8,26.3,23.0,32.3,30.0,18.8,14.3,20,54.5,167.6,0
74,111,378,35.9,25.1,28.2,18.1,26.1,11.6,8.5,16.8,11.0,98.4,85.8,71.0,85.0,92.7,57.3,28.4,23.6,34.2,34.0,19.8,13.8,20,58.0,162.8,0
75,430,118,43.0,30.6,33.8,23.3,35.3,15.6,12.0,21.6,16.4,124.9,115.8,96.0,95.9,103.6,62.2,38.2,30.1,41.2,39.4,25.1,17.7,28,93.2,180.3,1
76,453,239,43.2,26.8,32.6,22.1,32.9,15.4,12.0,20.5,16.8,131.1,111.8,83.6,92.7,101.5,59.5,40.4,31.7,36.7,38.3,25.5,19.4,26,90.9,183.0,1
77,22,414,35.8,30.2,33.5,20.6,27.5,12.4,9.4,18.4,13.0,99.7,90.0,73.7,92.7,101.2,57.4,28.1,23.3,33.9,33.3,21.2,14.9,64,58.6,156.2,0
78,25,266,32.6,25.6,30.0,15.3,22.6,10.3,8.1,16.2,11.6,90.1,73.5,60.5,68.3,88.5,54.0,24.6,20.6,29.0,33.0,19.0,13.2,19,47.8,157.0,0
79,178,264,36.2,27.4,29.5,14.6,23.9,11.2,9.6,16.7,12.6,90.0,79.0,59.0,79.0,88.5,51.2,23.5,21.0,32.5,29.6,18.5,14.5,23,49.2,168.2,0
80,152,403,36.9,27.5,31.1,16.3,26.6,12.8,9.8,18.0,14.0,100.1,81.1,65.5,82.3,90.4,53.3,26.8,22.3,34.2,33.4,21.5,14.5,37,55.0,166.4,0
81,293,36,41.5,24.5,30.5,17.7,26.7,13.3,10.8,18.6,14.0,104.0,85.0,70.5,84.0,90.0,50.0,29.0,26.0,36.0,34.5,21.5,17.0,20,59.5,170.0,1
82,404,26,46.0,30.1,34.5,20.2,31.1,16.4,13.3,22.2,14.9,129.5,108.8,89.5,89.5,106.0,59.5,37.5,30.1,39.9,41.5,23.5,19.0,24,89.6,178.0,1
83,256,346,39.3,24.5,32.3,21.4,29.5,13.4,10.9,18.2,13.0,110.2,89.9,66.0,79.9,97.1,59.0,27.0,24.2,37.2,39.0,23.2,16.2,24,66.8,179.8,0
84,417,236,38.9,25.6,32.9,21.1,29.0,15.6,10.6,20.2,14.8,116.6,105.4,80.7,87.4,95.5,56.8,38.3,28.6,35.0,34.3,23.3,17.3,25,73.2,180.3,1
85,51,366,32.8,26.2,26.3,16.1,23.6,10.6,9.2,16.4,11.7,85.9,74.5,61.0,65.3,84.5,51.5,22.4,19.6,30.4,28.4,17.4,13.2,21,45.0,160.0,0
86,137,424,36.7,28.0,31.1,19.4,27.5,12.9,10.0,17.9,14.0,97.4,87.1,63.8,88.3,94.0,56.1,28.1,24.0,33.1,35.2,22.1,16.0,41,58.2,165.1,0
87,112,347,37.2,24.4,29.4,18.1,27.3,12.3,9.9,17.1,12.2,107.1,89.8,71.2,85.7,97.5,58.2,28.2,25.2,34.2,34.0,20.4,15.4,24,59.4,162.9,0
88,249,327,36.4,26.2,32.2,17.3,25.8,13.1,10.1,17.9,12.6,103.0,86.0,68.2,76.2,97.9,59.8,29.8,25.0,36.8,38.1,21.8,16.2,18,67.2,176.2,0
89,187,288,37.6,27.3,32.0,18.0,25.6,12.4,9.4,18.8,13.6,100.5,84.4,66.9,79.7,98.8,59.2,28.5,23.7,35.9,34.6,20.0,15.1,23,62.3,168.9,0
90,242,415,38.5,30.4,35.1,18.2,27.3,13.8,10.7,19.0,14.4,106.6,88.2,67.9,86.9,100.8,60.2,31.0,26.6,36.6,38.5,22.2,16.0,21,66.8,175.2,0
91,347,189,42.1,29.7,32.9,24.9,30.8,15.3,11.5,19.2,14.6,120.2,109.8,90.5,92.3,95.2,52.4,35.8,28.7,32.5,36.5,23.7,17.5,60,73.6,175.3,1
92,378,120,41.9,25.4,30.2,14.4,26.8,12.6,9.8,18.8,13.6,108.8,87.1,67.1,80.4,85.9,46.8,30.3,25.4,32.7,32.1,20.0,15.3,25,58.0,177.8,1
93,23,493,38.5,25.6,31.7,17.0,25.6,11.8,10.2,16.8,12.9,92.8,87.6,74.7,77.0,97.7,57.0,28.1,23.1,34.4,32.7,20.9,15.2,19,60.0,156.2,0
94,466,136,41.5,30.6,35.8,21.1,28.0,15.0,11.8,21.0,15.6,112.8,97.5,94.8,98.2,98.6,48.3,31.1,27.0,37.7,36.8,24.6,18.4,62,76.4,185.4,1
95,384,147,40.1,28.7,32.2,18.0,29.4,15.2,11.8,20.7,15.4,113.0,94.5,80.0,85.0,95.0,52.0,31.5,26.5,36.9,36.4,22.9,17.0,32,72.0,177.8,1
96,126,331,39.9,20.0,32.4,17.6,31.9,13.6,10.4,18.5,13.4,117.0,99.5,78.0,87.5,103.0,64.8,31.1,26.6,35.2,36.7,21.8,16.2,23,71.6,164.1,0
97,118,333,38.7,23.5,33.0,16.4,27.6,12.6,9.9,17.5,12.6,105.5,85.8,65.8,70.5,89.3,57.4,27.0,23.2,36.8,36.2,22.1,15.8,23,59.8,163.2,0
98,392,153,38.9,27.1,30.4,20.4,28.7,14.8,11.7,19.4,14.6,114.1,106.7,81.0,80.2,93.7,54.8,35.5,30.6,36.9,37.3,22.7,16.8,31,80.9,177.8,1
99,330,206,42.5,25.2,30.6,20.9,30.4,15.3,11.4,18.9,13.8,111.0,98.7,78.1,78.6,92.0,56.5,35.7,29.2,36.4,37.0,22.0,17.2,24,73.9,174.0,1
